iter	Passed	Remaining
0	149	148966
1	160	80259
2	172	57477
3	177	44184
4	184	36620
5	192	31896
6	201	28563
7	207	25740
8	210	23214
9	218	21632
10	225	20264
11	229	18919
12	240	18266
13	250	17621
14	260	17079
15	267	16469
16	273	15836
17	280	15288
18	288	14886
19	294	14452
20	299	13979
21	305	13575
22	315	13390
23	321	13081
24	329	12867
25	347	13005
26	351	12667
27	360	12505
28	374	12538
29	382	12358
30	391	12225
31	409	12375
32	421	12343
33	424	12054
34	434	11977
35	443	11868
36	451	11744
37	465	11778
38	473	11666
39	477	11462
40	481	11265
41	487	11109
42	493	10980
43	509	11070
44	502	10667
45	520	10793
46	518	10506
47	539	10691
48	532	10329
49	547	10407
50	557	10379
51	563	10277
52	575	10281
53	581	10188
54	588	10112
55	592	9988
56	598	9897
57	602	9791
58	609	9716
59	615	9640
60	623	9593
61	634	9600
62	643	9571
63	650	9511
64	658	9465
65	666	9438
66	674	9386
67	678	9295
68	683	9217
69	689	9164
70	700	9163
71	714	9206
72	720	9144
73	737	9227
74	749	9243
75	755	9183
76	766	9188
77	780	9229
78	791	9231
79	800	9201
80	813	9229
81	819	9176
82	823	9097
83	833	9094
84	837	9019
85	848	9013
86	857	8997
87	873	9050
88	894	9153
89	905	9157
90	918	9170
91	930	9182
92	933	9101
93	940	9063
94	997	9502
95	1021	9615
96	1024	9533
97	1041	9589
98	1048	9538
99	1050	9450
100	1051	9361
101	1053	9274
102	1055	9192
103	1057	9113
105	1066	8996
106	1072	8948
107	1075	8881
108	1080	8831
109	1087	8795
110	1093	8754
111	1099	8717
112	1106	8685
113	1111	8635
114	1115	8583
115	1120	8541
116	1131	8540
117	1137	8501
118	1149	8512
119	1164	8536
120	1169	8498
121	1180	8492
122	1184	8446
123	1192	8424
124	1198	8387
125	1204	8355
126	1206	8295
127	1209	8237
128	1218	8227
129	1225	8201
130	1229	8153
131	1236	8130
132	1242	8099
133	1250	8080
134	1257	8057
135	1265	8037
136	1275	8037
137	1282	8013
138	1292	8006
139	1300	7990
140	1306	7962
141	1318	7964
142	1328	7960
143	1332	7921
144	1336	7882
145	1346	7875
146	1353	7852
147	1364	7856
148	1374	7851
149	1382	7836
150	1393	7836
151	1397	7797
152	1404	7773
153	1412	7761
154	1420	7741
155	1428	7726
156	1431	7688
157	1439	7669
158	1444	7638
159	1451	7622
160	1455	7585
161	1464	7574
162	1473	7566
163	1481	7554
164	1488	7533
165	1496	7517
166	1503	7500
167	1510	7481
168	1521	7481
169	1534	7489
170	1549	7509
171	1562	7523
172	1567	7491
173	1578	7492
174	1586	7479
175	1595	7468
176	1599	7438
177	1611	7441
178	1626	7460
179	1636	7454
180	1643	7434
181	1651	7424
182	1665	7435
183	1676	7434
184	1694	7465
185	1701	7447
186	1709	7433
187	1719	7426
188	1751	7513
189	1766	7531
190	1777	7530
191	1784	7511
192	1787	7472
193	1790	7440
194	1794	7406
195	1797	7375
196	1802	7346
197	1809	7331
198	1818	7318
199	1821	7284
200	1828	7266
201	1839	7266
202	1849	7260
203	1857	7246
204	1863	7227
205	1877	7238
206	1885	7223
207	1897	7225
208	1911	7233
209	1940	7300
210	1948	7287
211	1961	7289
212	1974	7295
213	1978	7265
214	1988	7262
215	1998	7253
216	2003	7228
217	2006	7197
218	2015	7188
219	2024	7176
220	2031	7162
221	2039	7147
222	2043	7120
223	2049	7101
224	2057	7085
225	2064	7070
226	2071	7053
227	2078	7039
228	2084	7017
229	2092	7005
230	2101	6994
231	2112	6994
232	2120	6981
233	2125	6956
234	2132	6941
235	2137	6919
236	2147	6912
237	2153	6895
238	2158	6873
239	2167	6862
240	2174	6848
241	2180	6829
242	2185	6809
243	2194	6800
244	2201	6784
245	2203	6752
246	2211	6742
247	2217	6722
248	2229	6723
249	2234	6703
250	2238	6678
251	2243	6660
252	2252	6649
253	2260	6639
254	2267	6625
255	2271	6601
256	2276	6581
257	2281	6561
258	2292	6558
259	2300	6548
260	2307	6533
261	2313	6515
262	2320	6503
263	2328	6492
264	2341	6493
265	2346	6474
266	2349	6450
267	2353	6429
268	2359	6411
269	2369	6405
270	2382	6409
271	2390	6398
272	2394	6375
273	2404	6371
274	2410	6354
275	2416	6339
276	2421	6319
277	2431	6314
278	2438	6301
279	2443	6284
280	2450	6271
281	2454	6249
282	2462	6237
283	2468	6223
284	2479	6221
285	2485	6204
286	2491	6189
287	2498	6177
288	2507	6168
289	2514	6155
290	2522	6146
291	2526	6125
292	2535	6117
293	2541	6102
294	2552	6099
295	2560	6088
296	2564	6070
297	2570	6054
298	2576	6040
299	2583	6028
300	2594	6024
301	2604	6020
302	2610	6003
303	2621	6000
304	2627	5987
305	2636	5978
306	2643	5967
307	2651	5957
308	2661	5951
309	2666	5934
310	2674	5925
311	2684	5920
312	2695	5916
313	2701	5901
314	2710	5893
315	2713	5872
316	2723	5868
317	2728	5852
318	2734	5838
319	2739	5822
320	2745	5808
321	2753	5797
322	2759	5784
323	2766	5772
324	2775	5763
325	2783	5754
326	2788	5739
327	2794	5725
328	2801	5712
329	2807	5699
330	2814	5688
331	2822	5678
332	2829	5668
333	2834	5652
334	2843	5644
335	2847	5626
336	2853	5614
337	2862	5605
338	2870	5597
339	2877	5585
340	2885	5577
341	2890	5561
342	2899	5553
343	2907	5544
344	2916	5537
345	2925	5530
346	2929	5512
347	2938	5504
348	2953	5508
349	2967	5510
350	2974	5499
351	2980	5487
352	2990	5480
353	2998	5472
354	3003	5456
355	3007	5440
356	3017	5434
357	3024	5424
358	3035	5420
359	3038	5401
360	3045	5391
361	3052	5380
362	3057	5365
363	3063	5353
364	3068	5338
365	3073	5323
366	3076	5306
367	3081	5291
368	3087	5280
369	3096	5272
370	3106	5267
371	3113	5255
372	3120	5245
373	3131	5241
374	3143	5239
375	3151	5229
376	3174	5245
377	3194	5257
378	3231	5294
379	3240	5287
380	3243	5270
381	3260	5274
382	3274	5275
383	3299	5292
384	3304	5278
385	3312	5268
386	3324	5266
387	3334	5259
388	3354	5269
389	3367	5266
390	3372	5252
391	3380	5243
392	3386	5230
393	3396	5224
394	3399	5207
395	3414	5207
